"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1","AUTAUGA ","AL ",9,1,"HMO ",61947,9000,14.5285485979951
"2","BALDWIN ","AL ",40,3,"PPO ",1099095,90500,8.23404710238878
"3","BARBOUR ","AL ",7,2,"PFFS ",29720,107100,360.363391655451
"4","BIBB ","AL ",26,4,"HCPP ",513059,197800,38.5530708943806
"5","BLOUNT ","AL ",25,6,"HCPP ",410175,8e+05,195.038702992625
"6","BULLOCK ","AL ",7,1,"HMO ",13160,7350,55.8510638297872
"7","BUTLER ","AL ",76,9,"HMO ",2126280,2366080,111.277912598529
"8","CALHOUN ","AL ",59,3,"HMO ",738117,1180002,159.866525225676
"9","CHAMBERS ","AL ",17,3,"HMO ",80730,416160,515.496098104794
"10","CHEROKEE ","AL ",78,9,"HMO ",701595,1903718,271.341443425338
"11","CHILTON ","AL ",9,2,"DEMP ",56583,9900,17.4964211865755
"12","CHOCTAW ","AL ",12,0,"HCPP ",34524,229260,664.059784497741
"13","CLARKE ","AL ",35,2,"HCPP ",255134,484000,189.704233853583
"14","CLAY ","AL ",129,14,"HMO ",1626919,2533051,155.696196307253
"15","CLEBURNE ","AL ",9,1,"HMO ",46344,28080,60.5903676851372
"16","COFFEE ","AL ",24,1,"HCPP ",198160,518446,261.629995962858
"17","COLBERT ","AL ",3,0,"HCPP ",34125,3480,10.1978021978022
"18","CONECUH ","AL ",4,1,"HMO ",11460,4680,40.8376963350785
"19","COOSA ","AL ",4,1,"HMO ",9568,4720,49.3311036789298
"20","COVINGTON ","AL ",13,0,"HMO ",86005,135270,157.281553398058
"21","CRENSHAW ","AL ",4,1,"HMO ",11984,4800,40.0534045393858
"22","CULLMAN ","AL ",11,1,"HCPP ",163350,13310,8.14814814814815
"23","DALE ","AL ",7,0,"HMO ",75418,8540,11.3235567105996
"24","DALLAS ","AL ",86,6,"HMO ",15036664,3242530,21.5641581137944
"25","DE KALB ","AL ",20,1,"HMO ",188956,136160,72.059103706683
"26","ELMORE ","AL ",22,6,"PPO ",178414,123020,68.9519880726849
"27","ESCAMBIA ","AL ",54,2,"HMO ",2351358,468540,19.92635744961
"28","ETOWAH ","AL ",13,1,"PPO ",271245,16510,6.08674814282291
"29","FAYETTE ","AL ",110,17,"HCPP ",1867272,2816017,150.809148319045
"30","FRANKLIN ","AL ",256,18,"HCPP ",9805810,7525727,76.7476322710719
"31","GENEVA ","AL ",7,0,"HMO ",39704,9100,22.919605077574
"32","GREENE ","AL ",122,19,"HCPP ",1991562,3404200,170.931158557956
"33","HALE ","AL ",10,0,"HCPP ",42646,190248,446.109834451062
"34","HENRY ","AL ",99,10,"PFFS ",879846,2269116,257.899223273164
"35","HOUSTON ","AL ",54,6,"HMO ",564504,914280,161.961651290336
"36","JACKSON ","AL ",242,22,"HCPP ",7232098,6420304,88.77512445213
"37","JEFFERSON ","AL ",381,42,"HCPP ",18412864,8926450,48.4794217781655
"38","LAMAR ","AL ",25,2,"HMO ",158721,738165,465.07078458427
"39","LAUDERDALE ","AL ",28,0,"HCPP ",374786,532260,142.017044393334
"40","LAWRENCE ","AL ",77,9,"HCPP ",733824,2231890,304.14513561835
"41","LEE ","AL ",201,9,"PFFS ",15013774,3016915,20.0943147272631
"42","LIMESTONE ","AL ",16,0,"HCPP ",119284,332996,279.162335267094
"43","LOWNDES ","AL ",34,4,"HMO ",320550,476870,148.766183122758
"44","MACON ","AL ",52,4,"HMO ",535042,1199580,224.202959767644
"45","MADISON ","AL ",184,18,"HCPP ",3416701,3845625,112.553747020884
"46","MARENGO ","AL ",6,0,"HCPP ",23568,8700,36.9144602851324
"47","MARION ","AL ",286,23,"HCPP ",15745271,6340578,40.2697292412433
"48","MARSHALL ","AL ",90,17,"HCPP ",651094,1933310,296.932547374112
"49","MOBILE ","AL ",28,2,"DEMP ",1792448,41440,2.31192201949513
"50","MONROE ","AL ",261,24,"HMO ",10043023,7147750,71.1712997172266
"51","MONTGOMERY ","AL ",314,18,"PPO ",20321182,9602262,47.2524777348089
"52","MORGAN ","AL ",92,6,"HMO ",732811,1924150,262.571113151959
"53","PERRY ","AL ",51,8,"HMO ",226765,1381950,609.419443035742
"54","PICKENS ","AL ",23,3,"HCPP ",275730,597364,216.648170311537
"55","PIKE ","AL ",63,6,"HMO ",417168,1633834,391.648928009819
"56","RANDOLPH ","AL ",59,9,"HMO ",535512,1479415,276.261783115971
"57","RUSSELL ","AL ",22,4,"HMO ",141550,412706,291.561992228894
"58","SAINT CLAIR ","AL ",60,7,"HCPP ",1588864,932907,58.7153463103198
"59","SHELBY ","AL ",110,10,"HCPP ",5135809,3005782,58.5259693263515
"60","SUMTER ","AL ",85,1,"HCPP ",782030,1205240,154.116849737222
"61","TALLADEGA ","AL ",12,1,"HMO ",188088,19200,10.2079877504147
"62","TALLAPOOSA ","AL ",7,0,"HMO ",57981,11270,19.4374019075214
"63","TUSCALOOSA ","AL ",15,0,"HCPP ",382485,24300,6.35319032118907
"64","WALKER ","AL ",32,5,"HCPP ",402754,519913,129.089469005894
"65","WASHINGTON ","AL ",380,53,"HMO ",7246862,11887209,164.032501239847
"66","WILCOX ","AL ",6,1,"HMO ",13818,30542,221.030539875525
"67","WINSTON ","AL ",13,2,"HCPP ",58677,166360,283.518243945669
"68","UNDER-11 ","  ",0,0,"11-Jan",7,0,0
"69","ANCHORAGE ","AK ",34,0,"HCPP ",761736,68680,9.01624709873237
"70","DENALI ","AK ",1,0,"HCPP ",0,2068,Inf
"71","FAIRBANKS NORTH STAR ","AK ",13,0,"HCPP ",76453,27170,35.5381737799694
"72","JUNEAU ","AK ",11,3,"HMO ",45895,274060,597.145658568472
"73","KENAI PENINSULA ","AK ",15,0,"HMO ",0,31830,Inf
"74","KETCHIKAN GATEWAY ","AK ",1,0,"HMO ",1537,2130,138.581652569941
"75","KODIAK ISLAND ","AK ",2,0,"PPO ",918,4300,468.409586056645
"76","MATANUSKA SUSITNA ","AK ",17,0,"HCPP ",103207,36890,35.7436995552627
"77","PRINCE WALES KETCHIK ","AK ",2,0,"COST ",0,4402,Inf
"78","SITKA BOROUGH ","AK ",2,0,"COST ",1922,4440,231.009365244537
"79","VALDEZ CORDOVA ","AK ",4,0,"HMO ",0,9044,Inf
"80","WRANGELL PETERSBURG ","AK ",1,0,"HMO ",784,2280,290.816326530612
"81","YUKON KOYUKUK ","AK ",2,0,"HMO ",972,4580,471.19341563786
"82","APACHE ","AZ ",14,1,"HMO ",113344,42000,37.0553359683795
"83","COCHISE ","AZ ",38,5,"HMO ",847514,114380,13.4959422499215
"84","COCONINO ","AZ ",30,1,"HMO ",479490,90600,18.8950760182694
"85","GILA ","AZ ",25,4,"HMO ",316825,75750,23.9090980825377
"86","GRAHAM ","AZ ",18,4,"HMO ",75805,114610,151.19055471275
"87","GREENLEE ","AZ ",5,1,"HMO ",5735,15250,265.911072362685
"88","LA PAZ ","AZ ",32,2,"HMO ",138496,97760,70.586876155268
"89","MARICOPA ","AZ ",177,6,"HCPP ",77314485,541620,0.700541431531232
"90","MOHAVE ","AZ ",59,4,"HMO ",2519772,181130,7.18834878711248
"91","NAVAJO ","AZ ",24,2,"HMO ",350568,73920,21.0857807900322
"92","PIMA ","AZ ",108,4,"HCPP ",16123212,333720,2.06981090368346
"93","PINAL ","AZ ",75,4,"HMO ",2394000,232500,9.71177944862155
"94","SANTA CRUZ ","AZ ",49,5,"HMO ",1043853,227720,21.8153322354776
"95","YAVAPAI ","AZ ",56,1,"HMO ",2512048,174720,6.95528110927817
"96","YUMA ","AZ ",54,2,"HMO ",1166668,182980,15.6839820754491
"97","ARKANSAS ","AR ",2,0,"HCPP ",7930,8000,100.882723833544
"98","ASHLEY ","AR ",5,0,"HMO ",21970,20050,91.2608101957214
"99","BAXTER ","AR ",24,0,"PFFS ",302520,96480,31.892106307021
"100","BENTON ","AR ",116,19,"HMO ",1582332,3404340,215.147010867504
"101","BOONE ","AR ",92,10,"PFFS ",892872,1694620,189.79428182315
"102","BRADLEY ","AR ",16,3,"HMO ",216560,624800,288.511267085334
"103","CARROLL ","AR ",112,11,"PFFS ",1077282,2718861,252.381549120843
"104","CHICOT ","AR ",4,0,"HMO ",10908,16320,149.61496149615
"105","CLARK ","AR ",240,14,"PFFS ",30035725,7471180,24.8743121732537
"106","CLEVELAND ","AR ",29,1,"HMO ",522512,948640,181.553725081912
"107","COLUMBIA ","AR ",116,11,"HMO ",1158085,3257350,281.270373072788
"108","CONWAY ","AR ",3,0,"HMO ",15156,12420,81.9477434679335
"109","CRAIGHEAD ","AR ",10,0,"HMO ",133270,41500,31.1397914009154
"110","CRAWFORD ","AR ",82,15,"PFFS ",644137,2144320,332.898125709282
"111","CRITTENDEN ","AR ",15,0,"PFFS ",83597,118950,142.28979508834
"112","CROSS ","AR ",3,0,"HMO ",9783,12540,128.18153940509
"113","DESHA ","AR ",9,0,"HCPP ",23526,37800,160.673297628156
"114","DREW ","AR ",4,0,"HMO ",11516,16840,146.231330323029
"115","FAULKNER ","AR ",13,0,"HCPP ",157170,54860,34.9048800661704
"116","FULTON ","AR ",110,11,"HMO ",5531225,1885514,34.0885427730747
"117","GARLAND ","AR ",20,0,"HCPP ",502960,85000,16.8999522824877
"118","GRANT ","AR ",95,10,"HCPP ",608810,3264480,536.206698313103
"119","HEMPSTEAD ","AR ",3,0,"HMO ",11082,12840,115.863562533839
"120","HOT SPRING ","AR ",3,0,"HMO ",17364,12870,74.1188666205943
"121","HOWARD ","AR ",58,2,"HMO ",690143,1395270,202.171144241121
"122","INDEPENDENCE ","AR ",6,0,"HMO ",41490,25860,62.3282718727404
"123","IZARD ","AR ",8,0,"HMO ",27832,34560,124.173613107215
"124","JOHNSON ","AR ",145,16,"HCPP ",3587454,3294060,91.8216651697834
"125","LITTLE RIVER ","AR ",3,0,"HMO ",7761,13200,170.081175106301
"126","LOGAN ","AR ",46,7,"HCPP ",244393,1083830,443.478332030787
"127","LONOKE ","AR ",9,0,"HCPP ",73584,39780,54.0606653620352
"128","MILLER ","AR ",14,1,"HMO ",81248,202791,249.595066955494
"129","MISSISSIPPI ","AR ",9,0,"PFFS ",62384,84540,135.515516799179
"130","NEVADA ","AR ",24,4,"HCPP ",416788,128460,30.8214248010979
"131","NEWTON ","AR ",39,2,"HCPP ",294164,788034,267.889340639915
"132","OUACHITA ","AR ",21,0,"PFFS ",363657,317460,87.296545921019
"133","PHILLIPS ","AR ",8,2,"PFFS ",25698,83820,326.173243053934
"134","POINSETT ","AR ",2,0,"HCPP ",10054,9100,90.5112393077382
"135","POLK ","AR ",282,25,"HCPP ",12733331,7462464,58.6057489591687
"136","POPE ","AR ",21,5,"HCPP ",122794,266963,217.407202306302
"137","PRAIRIE ","AR ",2,0,"HCPP ",2056,31970,1554.96108949416
"138","PULASKI ","AR ",56,5,"HMO ",1686824,833399,49.4063992449716
"139","SAINT FRANCIS ","AR ",9,0,"PFFS ",42975,41490,96.544502617801
"140","SALINE ","AR ",35,4,"HCPP ",256609,559820,218.16070363861
"141","SCOTT ","AR ",94,16,"HCPP ",908317,2276335,250.610194458543
"142","SEARCY ","AR ",3,0,"HMO ",6531,13920,213.137344970142
"143","SEBASTIAN ","AR ",16,1,"HCPP ",310304,74400,23.9764875734763
"144","SEVIER ","AR ",26,4,"COST ",257504,1136780,441.461103516839
"145","SHARP ","AR ",11,0,"PFFS ",56738,51370,90.5389685924777
"146","STONE ","AR ",19,1,"HCPP ",107441,485084,451.488724043894
"147","UNION ","AR ",158,20,"HCPP ",3831079,4705754,122.831035329733
"148","VAN BUREN ","AR ",22,2,"HCPP ",180500,461540,255.700831024931
"149","WHITE ","AR ",34,3,"HCPP ",241894,570796,235.969474232515
"150","WOODRUFF ","AR ",2,0,"HMO ",3478,9460,271.995399654974
"151","YELL ","AR ",3,0,"HMO ",12975,14220,109.595375722543
"152","ALAMEDA ","CA ",79,4,"HMO ",13474161,395000,2.93153688752866
"153","ALPINE ","CA ",2,0,"HMO ",298,10020,3362.41610738255
"154","AMADOR ","CA ",14,1,"HMO ",109004,70280,64.4746981762137
"155","BUTTE ","CA ",33,1,"HMO ",1071815,334390,31.1984810811567
"156","CALAVERAS ","CA ",19,2,"HMO ",175389,95760,54.5986350341241
"157","COLUSA ","CA ",7,1,"HMO ",21805,35350,162.118780096308
"158","CONTRA COSTA ","CA ",75,5,"COST ",9899250,379500,3.83362375937571
"159","DEL NORTE ","CA ",13,0,"HMO ",64220,65910,102.631578947368
"160","EL DORADO ","CA ",36,1,"HMO ",978984,182880,18.6805913069059
"161","FRESNO ","CA ",43,3,"HMO ",4365188,218870,5.01398794278734
"162","GLENN ","CA ",6,1,"HMO ",25488,30600,120.056497175141
"163","HUMBOLDT ","CA ",39,1,"HMO ",588325,485420,82.5088174053457
"164","IMPERIAL ","CA ",27,1,"HMO ",564219,138240,24.5011245633345
"165","INYO ","CA ",17,1,"HMO ",61829,87210,141.050316194666
"166","KERN ","CA ",61,5,"HMO ",5277354,313540,5.94123494463324
"167","KINGS ","CA ",113,8,"HMO ",30031005,3315507,11.0402798707536
"168","LAKE ","CA ",276,14,"HMO ",16035043,4667330,29.1070625753857
"169","LASSEN ","CA ",15,1,"HMO ",63645,77550,121.847749234033
"170","LOS ANGELES ","CA ",174,8,"HCPP ",191253492,904800,0.473089401159797
"171","MADERA ","CA ",18,2,"HMO ",368460,95400,25.8915486077186
"172","MARIN ","CA ",37,2,"HMO ",1440632,196470,13.6377645366756
"173","MARIPOSA ","CA ",13,2,"HMO ",45591,69160,151.696606786427
"174","MENDOCINO ","CA ",21,1,"HMO ",329322,111930,33.9880117331973
"175","MERCED ","CA ",24,1,"HMO ",567048,128160,22.6012612688873
"176","MODOC ","CA ",7,0,"HMO ",13748,37450,272.403258655804
"177","MONO ","CA ",4,1,"HMO ",4608,21440,465.277777777778
"178","MONTEREY ","CA ",32,1,"HMO ",1466112,171840,11.7207962283918
"179","NAPA ","CA ",28,2,"HMO ",644532,150640,23.3719970459186
"180","ORANGE ","CA ",303,17,"HCPP ",53108252,4956850,9.33348361757416
"181","PLACER ","CA ",46,4,"HMO ",2181090,248860,11.4098913845829
"182","PLUMAS ","CA ",15,2,"HMO ",65580,81300,123.970722781336
"183","RIVERSIDE ","CA ",110,6,"HMO ",26578530,597300,2.2473026160589
"184","SACRAMENTO ","CA ",84,4,"HMO ",14641032,456960,3.12109146404434
"185","SAN BENITO ","CA ",10,2,"HMO ",52270,54500,104.266309546585
"186","SAN BERNARDINO ","CA ",95,9,"HCPP ",18455080,518700,2.81060824445085
"187","SAN DIEGO ","CA ",138,3,"HCPP ",50825676,754860,1.48519421561653
"188","SAN FRANCISCO ","CA ",67,4,"HMO ",8408031,367160,4.3667774298168
"189","SAN JOAQUIN ","CA ",49,1,"HMO ",3805732,269010,7.0685481794304
"190","SAN LUIS OBISPO ","CA ",38,1,"HMO ",1599876,209000,13.0635124222127
"191","SAN MATEO ","CA ",56,4,"HMO ",5486936,308560,5.62353925761117
"192","SANTA BARBARA ","CA ",46,3,"HMO ",2696750,253920,9.41577825159915
"193","SANTA CLARA ","CA ",91,3,"HMO ",17368806,503230,2.8973206333239
"194","SHASTA ","CA ",29,0,"HMO ",1062357,160950,15.1502743428057
